"Meaning of Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Government Organization","Maryland","1977","GO0001","Total Federal, state, and local government units","State and Local ","427"
"Government Organization","Maryland","1982","GO0001","Total Federal, state, and local government units","State and Local ","440"
"Government Organization","Maryland","1987","GO0001","Total Federal, state, and local government units","State and Local ","402"
"Government Organization","Maryland","1992","GO0001","Total Federal, state, and local government units","State and Local ","402"
"Government Organization","Maryland","1997","GO0001","Total Federal, state, and local government units","State and Local ","421"
"Government Organization","Maryland","2002","GO0001","Total Federal, state, and local government units","State and Local ","266"
"Government Organization","Maryland","2007","GO0001","Total Federal, state, and local government units","State and Local ","257"
"Government Organization","Maryland","2012","GO0001","Total Federal, state, and local government units","State and Local ","348"
"Government Organization","Maryland","2017","GO0001","Total Federal, state, and local government units","State and Local ","345"
"Government Organization","Massachusetts","1942","GO0001","Total Federal, state, and local government units","State and Local ","409"
"Government Organization","Massachusetts","1952","GO0001","Total Federal, state, and local government units","State and Local ","584"
"Government Organization","Massachusetts","1957","GO0001","Total Federal, state, and local government units","State and Local ","573"
"Government Organization","Massachusetts","1962","GO0001","Total Federal, state, and local government units","State and Local ","587"
"Government Organization","Massachusetts","1967","GO0001","Total Federal, state, and local government units","State and Local ","655"
"Government Organization","Massachusetts","1972","GO0001","Total Federal, state, and local government units","State and Local ","683"
"Government Organization","Massachusetts","1977","GO0001","Total Federal, state, and local government units","State and Local ","767"
"Government Organization","Massachusetts","1982","GO0001","Total Federal, state, and local government units","State and Local ","799"
"Government Organization","Massachusetts","1987","GO0001","Total Federal, state, and local government units","State and Local ","837"
"Government Organization","Massachusetts","1992","GO0001","Total Federal, state, and local government units","State and Local ","844"
"Government Organization","Massachusetts","1997","GO0001","Total Federal, state, and local government units","State and Local ","862"
"Government Organization","Massachusetts","2002","GO0001","Total Federal, state, and local government units","State and Local ","842"
"Government Organization","Massachusetts","2007","GO0001","Total Federal, state, and local government units","State and Local ","862"
"Government Organization","Massachusetts","2012","GO0001","Total Federal, state, and local government units","State and Local ","858"
"Government Organization","Massachusetts","2017","GO0001","Total Federal, state, and local government units","State and Local ","859"
"Government Organization","Michigan","1942","GO0001","Total Federal, state, and local government units","State and Local ","8,106"
"Government Organization","Michigan","1952","GO0001","Total Federal, state, and local government units","State and Local ","6,766"
"Government Organization","Michigan","1957","GO0001","Total Federal, state, and local government units","State and Local ","5,160"
"Government Organization","Michigan","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,817"
"Government Organization","Michigan","1967","GO0001","Total Federal, state, and local government units","State and Local ","2,904"
"Government Organization","Michigan","1972","GO0001","Total Federal, state, and local government units","State and Local ","2,650"
"Government Organization","Michigan","1977","GO0001","Total Federal, state, and local government units","State and Local ","2,634"
"Government Organization","Michigan","1982","GO0001","Total Federal, state, and local government units","State and Local ","2,644"
"Government Organization","Michigan","1987","GO0001","Total Federal, state, and local government units","State and Local ","2,700"
"Government Organization","Michigan","1992","GO0001","Total Federal, state, and local government units","State and Local ","2,722"
"Government Organization","Michigan","1997","GO0001","Total Federal, state, and local government units","State and Local ","2,776"
"Government Organization","Michigan","2002","GO0001","Total Federal, state, and local government units","State and Local ","2,805"
"Government Organization","Michigan","2007","GO0001","Total Federal, state, and local government units","State and Local ","2,894"
"Government Organization","Michigan","2012","GO0001","Total Federal, state, and local government units","State and Local ","2,876"
"Government Organization","Michigan","2017","GO0001","Total Federal, state, and local government units","State and Local ","2,864"
"Government Organization","Minnesota","1942","GO0001","Total Federal, state, and local government units","State and Local ","10,398"
"Government Organization","Minnesota","1952","GO0001","Total Federal, state, and local government units","State and Local ","9,026"
"Government Organization","Minnesota","1957","GO0001","Total Federal, state, and local government units","State and Local ","6,298"
"Government Organization","Minnesota","1962","GO0001","Total Federal, state, and local government units","State and Local ","5,213"
"Government Organization","Minnesota","1967","GO0001","Total Federal, state, and local government units","State and Local ","4,185"
"Government Organization","Minnesota","1972","GO0001","Total Federal, state, and local government units","State and Local ","3,396"
"Government Organization","Minnesota","1977","GO0001","Total Federal, state, and local government units","State and Local ","3,438"
"Government Organization","Minnesota","1982","GO0001","Total Federal, state, and local government units","State and Local ","3,530"
"Government Organization","Minnesota","1987","GO0001","Total Federal, state, and local government units","State and Local ","3,556"
"Government Organization","Minnesota","1992","GO0001","Total Federal, state, and local government units","State and Local ","3,580"
"Government Organization","Minnesota","1997","GO0001","Total Federal, state, and local government units","State and Local ","3,502"
"Government Organization","Minnesota","2002","GO0001","Total Federal, state, and local government units","State and Local ","3,483"
"Government Organization","Minnesota","2007","GO0001","Total Federal, state, and local government units","State and Local ","3,527"
"Government Organization","Minnesota","2012","GO0001","Total Federal, state, and local government units","State and Local ","3,673"
"Government Organization","Minnesota","2017","GO0001","Total Federal, state, and local government units","State and Local ","3,644"
"Government Organization","Mississippi","1942","GO0001","Total Federal, state, and local government units","State and Local ","1,792"
"Government Organization","Mississippi","1952","GO0001","Total Federal, state, and local government units","State and Local ","693"
"Government Organization","Mississippi","1957","GO0001","Total Federal, state, and local government units","State and Local ","672"
"Government Organization","Mississippi","1962","GO0001","Total Federal, state, and local government units","State and Local ","773"
"Government Organization","Mississippi","1967","GO0001","Total Federal, state, and local government units","State and Local ","784"
"Government Organization","Mississippi","1972","GO0001","Total Federal, state, and local government units","State and Local ","797"
"Government Organization","Mississippi","1977","GO0001","Total Federal, state, and local government units","State and Local ","836"
"Government Organization","Mississippi","1982","GO0001","Total Federal, state, and local government units","State and Local ","859"
"Government Organization","Mississippi","1987","GO0001","Total Federal, state, and local government units","State and Local ","854"
"Government Organization","Mississippi","1992","GO0001","Total Federal, state, and local government units","State and Local ","870"
"Government Organization","Mississippi","1997","GO0001","Total Federal, state, and local government units","State and Local ","937"
"Government Organization","Mississippi","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,001"
"Government Organization","Mississippi","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,001"
"Government Organization","Mississippi","2012","GO0001","Total Federal, state, and local government units","State and Local ","984"
"Government Organization","Mississippi","2017","GO0001","Total Federal, state, and local government units","State and Local ","970"
"Government Organization","Missouri","1942","GO0001","Total Federal, state, and local government units","State and Local ","10,740"
"Government Organization","Missouri","1952","GO0001","Total Federal, state, and local government units","State and Local ","7,002"
"Government Organization","Missouri","1957","GO0001","Total Federal, state, and local government units","State and Local ","5,307"
"Government Organization","Missouri","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,727"
"Government Organization","Missouri","1967","GO0001","Total Federal, state, and local government units","State and Local ","2,918"
"Government Organization","Missouri","1972","GO0001","Total Federal, state, and local government units","State and Local ","2,808"
"Government Organization","Missouri","1977","GO0001","Total Federal, state, and local government units","State and Local ","2,938"
"Government Organization","Missouri","1982","GO0001","Total Federal, state, and local government units","State and Local ","3,118"
"Government Organization","Missouri","1987","GO0001","Total Federal, state, and local government units","State and Local ","3,148"
"Government Organization","Missouri","1992","GO0001","Total Federal, state, and local government units","State and Local ","3,310"
"Government Organization","Missouri","1997","GO0001","Total Federal, state, and local government units","State and Local ","3,417"
"Government Organization","Missouri","2002","GO0001","Total Federal, state, and local government units","State and Local ","3,423"
"Government Organization","Missouri","2007","GO0001","Total Federal, state, and local government units","State and Local ","3,724"
"Government Organization","Missouri","2012","GO0001","Total Federal, state, and local government units","State and Local ","3,769"
"Government Organization","Missouri","2017","GO0001","Total Federal, state, and local government units","State and Local ","3,769"
"Government Organization","Montana","1942","GO0001","Total Federal, state, and local government units","State and Local ","2,175"
"Government Organization","Montana","1952","GO0001","Total Federal, state, and local government units","State and Local ","1,598"
"Government Organization","Montana","1957","GO0001","Total Federal, state, and local government units","State and Local ","1,503"
"Government Organization","Montana","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,388"
"Government Organization","Montana","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,104"
"Government Organization","Montana","1972","GO0001","Total Federal, state, and local government units","State and Local ","993"
"Government Organization","Montana","1977","GO0001","Total Federal, state, and local government units","State and Local ","959"
"Government Organization","Montana","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,030"
"Government Organization","Montana","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,244"
"Government Organization","Montana","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,276"
"Government Organization","Montana","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,145"
"Government Organization","Montana","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,128"
"Government Organization","Montana","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,274"
"Government Organization","Montana","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,266"
"Government Organization","Montana","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,227"
"Government Organization","Nebraska","1942","GO0001","Total Federal, state, and local government units","State and Local ","8,307"
"Government Organization","Nebraska","1952","GO0001","Total Federal, state, and local government units","State and Local ","7,981"
"Government Organization","Nebraska","1957","GO0001","Total Federal, state, and local government units","State and Local ","6,658"
"Government Organization","Nebraska","1962","GO0001","Total Federal, state, and local government units","State and Local ","5,125"
"Government Organization","Nebraska","1967","GO0001","Total Federal, state, and local government units","State and Local ","4,392"
"Government Organization","Nebraska","1972","GO0001","Total Federal, state, and local government units","State and Local ","3,562"
"Government Organization","Nebraska","1977","GO0001","Total Federal, state, and local government units","State and Local ","3,486"
"Government Organization","Nebraska","1982","GO0001","Total Federal, state, and local government units","State and Local ","3,325"
"Government Organization","Nebraska","1987","GO0001","Total Federal, state, and local government units","State and Local ","3,153"
"Government Organization","Nebraska","1992","GO0001","Total Federal, state, and local government units","State and Local ","2,924"
"Government Organization","Nebraska","1997","GO0001","Total Federal, state, and local government units","State and Local ","2,895"
"Government Organization","Nebraska","2002","GO0001","Total Federal, state, and local government units","State and Local ","2,792"
"Government Organization","Nebraska","2007","GO0001","Total Federal, state, and local government units","State and Local ","2,660"
"Government Organization","Nebraska","2012","GO0001","Total Federal, state, and local government units","State and Local ","2,582"
"Government Organization","Nebraska","2017","GO0001","Total Federal, state, and local government units","State and Local ","2,539"
"Government Organization","Nevada","1942","GO0001","Total Federal, state, and local government units","State and Local ","163"
"Government Organization","Nevada","1952","GO0001","Total Federal, state, and local government units","State and Local ","243"
"Government Organization","Nevada","1957","GO0001","Total Federal, state, and local government units","State and Local ","110"
"Government Organization","Nevada","1962","GO0001","Total Federal, state, and local government units","State and Local ","137"
"Government Organization","Nevada","1967","GO0001","Total Federal, state, and local government units","State and Local ","147"
"Government Organization","Nevada","1972","GO0001","Total Federal, state, and local government units","State and Local ","185"
"Government Organization","Nevada","1977","GO0001","Total Federal, state, and local government units","State and Local ","183"
"Government Organization","Nevada","1982","GO0001","Total Federal, state, and local government units","State and Local ","185"
"Government Organization","Nevada","1987","GO0001","Total Federal, state, and local government units","State and Local ","198"
"Government Organization","Nevada","1992","GO0001","Total Federal, state, and local government units","State and Local ","208"
"Government Organization","Nevada","1997","GO0001","Total Federal, state, and local government units","State and Local ","206"
"Government Organization","Nevada","2002","GO0001","Total Federal, state, and local government units","State and Local ","211"
"Government Organization","Nevada","2007","GO0001","Total Federal, state, and local government units","State and Local ","199"
"Government Organization","Nevada","2012","GO0001","Total Federal, state, and local government units","State and Local ","192"
"Government Organization","Nevada","2017","GO0001","Total Federal, state, and local government units","State and Local ","190"
"Government Organization","New Hampshire","1942","GO0001","Total Federal, state, and local government units","State and Local ","546"
"Government Organization","New Hampshire","1952","GO0001","Total Federal, state, and local government units","State and Local ","551"
"Government Organization","New Hampshire","1957","GO0001","Total Federal, state, and local government units","State and Local ","545"
"Government Organization","New Hampshire","1962","GO0001","Total Federal, state, and local government units","State and Local ","551"
"Government Organization","New Hampshire","1967","GO0001","Total Federal, state, and local government units","State and Local ","516"
"Government Organization","New Hampshire","1972","GO0001","Total Federal, state, and local government units","State and Local ","500"
"Government Organization","New Hampshire","1977","GO0001","Total Federal, state, and local government units","State and Local ","507"
"Government Organization","New Hampshire","1982","GO0001","Total Federal, state, and local government units","State and Local ","518"
"Government Organization","New Hampshire","1987","GO0001","Total Federal, state, and local government units","State and Local ","525"
"Government Organization","New Hampshire","1992","GO0001","Total Federal, state, and local government units","State and Local ","528"
"Government Organization","New Hampshire","1997","GO0001","Total Federal, state, and local government units","State and Local ","576"
"Government Organization","New Hampshire","2002","GO0001","Total Federal, state, and local government units","State and Local ","560"
"Government Organization","New Hampshire","2007","GO0001","Total Federal, state, and local government units","State and Local ","546"
"Government Organization","New Hampshire","2012","GO0001","Total Federal, state, and local government units","State and Local ","542"
"Government Organization","New Hampshire","2017","GO0001","Total Federal, state, and local government units","State and Local ","542"
"Government Organization","New Jersey","1942","GO0001","Total Federal, state, and local government units","State and Local ","1,143"
"Government Organization","New Jersey","1952","GO0001","Total Federal, state, and local government units","State and Local ","1,151"
"Government Organization","New Jersey","1957","GO0001","Total Federal, state, and local government units","State and Local ","1,217"
"Government Organization","New Jersey","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,396"
"Government Organization","New Jersey","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,422"
"Government Organization","New Jersey","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,457"
"Government Organization","New Jersey","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,518"
"Government Organization","New Jersey","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,592"
"Government Organization","New Jersey","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,626"
"Government Organization","New Jersey","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,513"
"Government Organization","New Jersey","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,422"
"Government Organization","New Jersey","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,413"
"Government Organization","New Jersey","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,384"
"Government Organization","New Jersey","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,345"
"Government Organization","New Jersey","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,339"
"Government Organization","New Mexico","1942","GO0001","Total Federal, state, and local government units","State and Local ","225"
"Government Organization","New Mexico","1952","GO0001","Total Federal, state, and local government units","State and Local ","289"
"Government Organization","New Mexico","1957","GO0001","Total Federal, state, and local government units","State and Local ","317"
"Government Organization","New Mexico","1962","GO0001","Total Federal, state, and local government units","State and Local ","306"
"Government Organization","New Mexico","1967","GO0001","Total Federal, state, and local government units","State and Local ","308"
"Government Organization","New Mexico","1972","GO0001","Total Federal, state, and local government units","State and Local ","310"
"Government Organization","New Mexico","1977","GO0001","Total Federal, state, and local government units","State and Local ","314"
"Government Organization","New Mexico","1982","GO0001","Total Federal, state, and local government units","State and Local ","320"
"Government Organization","New Mexico","1987","GO0001","Total Federal, state, and local government units","State and Local ","332"
"Government Organization","New Mexico","1992","GO0001","Total Federal, state, and local government units","State and Local ","342"
"Government Organization","New Mexico","1997","GO0001","Total Federal, state, and local government units","State and Local ","882"
"Government Organization","New Mexico","2002","GO0001","Total Federal, state, and local government units","State and Local ","859"
"Government Organization","New Mexico","2007","GO0001","Total Federal, state, and local government units","State and Local ","864"
"Government Organization","New Mexico","2012","GO0001","Total Federal, state, and local government units","State and Local ","864"
"Government Organization","New Mexico","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,014"
"Government Organization","New York","1942","GO0001","Total Federal, state, and local government units","State and Local ","8,339"
"Government Organization","New York","1952","GO0001","Total Federal, state, and local government units","State and Local ","5,483"
"Government Organization","New York","1957","GO0001","Total Federal, state, and local government units","State and Local ","4,189"
"Government Organization","New York","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,803"
"Government Organization","New York","1967","GO0001","Total Federal, state, and local government units","State and Local ","3,486"
"Government Organization","New York","1972","GO0001","Total Federal, state, and local government units","State and Local ","3,307"
"Government Organization","New York","1977","GO0001","Total Federal, state, and local government units","State and Local ","3,310"
"Government Organization","New York","1982","GO0001","Total Federal, state, and local government units","State and Local ","3,250"
"Government Organization","New York","1987","GO0001","Total Federal, state, and local government units","State and Local ","3,303"
"Government Organization","New York","1992","GO0001","Total Federal, state, and local government units","State and Local ","3,299"
"Government Organization","New York","1997","GO0001","Total Federal, state, and local government units","State and Local ","3,414"
"Government Organization","New York","2002","GO0001","Total Federal, state, and local government units","State and Local ","3,421"
"Government Organization","New York","2007","GO0001","Total Federal, state, and local government units","State and Local ","3,404"
"Government Organization","New York","2012","GO0001","Total Federal, state, and local government units","State and Local ","3,454"
"Government Organization","New York","2017","GO0001","Total Federal, state, and local government units","State and Local ","3,451"
"Government Organization","North Carolina","1942","GO0001","Total Federal, state, and local government units","State and Local ","603"
"Government Organization","North Carolina","1952","GO0001","Total Federal, state, and local government units","State and Local ","608"
"Government Organization","North Carolina","1957","GO0001","Total Federal, state, and local government units","State and Local ","624"
"Government Organization","North Carolina","1962","GO0001","Total Federal, state, and local government units","State and Local ","676"
"Government Organization","North Carolina","1967","GO0001","Total Federal, state, and local government units","State and Local ","753"
"Government Organization","North Carolina","1972","GO0001","Total Federal, state, and local government units","State and Local ","803"
"Government Organization","North Carolina","1977","GO0001","Total Federal, state, and local government units","State and Local ","875"
"Government Organization","North Carolina","1982","GO0001","Total Federal, state, and local government units","State and Local ","906"
"Government Organization","North Carolina","1987","GO0001","Total Federal, state, and local government units","State and Local ","917"
"Government Organization","North Carolina","1992","GO0001","Total Federal, state, and local government units","State and Local ","938"
"Government Organization","North Carolina","1997","GO0001","Total Federal, state, and local government units","State and Local ","953"
"Government Organization","North Carolina","2002","GO0001","Total Federal, state, and local government units","State and Local ","961"
"Government Organization","North Carolina","2007","GO0001","Total Federal, state, and local government units","State and Local ","964"
"Government Organization","North Carolina","2012","GO0001","Total Federal, state, and local government units","State and Local ","974"
"Government Organization","North Carolina","2017","GO0001","Total Federal, state, and local government units","State and Local ","971"
"Government Organization","North Dakota","1942","GO0001","Total Federal, state, and local government units","State and Local ","4,066"
"Government Organization","North Dakota","1952","GO0001","Total Federal, state, and local government units","State and Local ","3,968"
"Government Organization","North Dakota","1957","GO0001","Total Federal, state, and local government units","State and Local ","3,968"
"Government Organization","North Dakota","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,029"
"Government Organization","North Dakota","1967","GO0001","Total Federal, state, and local government units","State and Local ","2,758"
"Government Organization","North Dakota","1972","GO0001","Total Federal, state, and local government units","State and Local ","2,727"
"Government Organization","North Dakota","1977","GO0001","Total Federal, state, and local government units","State and Local ","2,708"
"Government Organization","North Dakota","1982","GO0001","Total Federal, state, and local government units","State and Local ","2,796"
"Government Organization","North Dakota","1987","GO0001","Total Federal, state, and local government units","State and Local ","2,788"
"Government Organization","North Dakota","1992","GO0001","Total Federal, state, and local government units","State and Local ","2,765"
"Government Organization","North Dakota","1997","GO0001","Total Federal, state, and local government units","State and Local ","2,759"
"Government Organization","North Dakota","2002","GO0001","Total Federal, state, and local government units","State and Local ","2,736"
"Government Organization","North Dakota","2007","GO0001","Total Federal, state, and local government units","State and Local ","2,700"
"Government Organization","North Dakota","2012","GO0001","Total Federal, state, and local government units","State and Local ","2,686"
"Government Organization","North Dakota","2017","GO0001","Total Federal, state, and local government units","State and Local ","2,665"
"Government Organization","Ohio","1942","GO0001","Total Federal, state, and local government units","State and Local ","4,021"
"Government Organization","Ohio","1952","GO0001","Total Federal, state, and local government units","State and Local ","3,936"
"Government Organization","Ohio","1957","GO0001","Total Federal, state, and local government units","State and Local ","3,667"
"Government Organization","Ohio","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,359"
"Government Organization","Ohio","1967","GO0001","Total Federal, state, and local government units","State and Local ","3,284"
"Government Organization","Ohio","1972","GO0001","Total Federal, state, and local government units","State and Local ","3,260"
"Government Organization","Ohio","1977","GO0001","Total Federal, state, and local government units","State and Local ","3,286"
"Government Organization","Ohio","1982","GO0001","Total Federal, state, and local government units","State and Local ","3,394"
"Government Organization","Ohio","1987","GO0001","Total Federal, state, and local government units","State and Local ","3,378"
"Government Organization","Ohio","1992","GO0001","Total Federal, state, and local government units","State and Local ","3,524"
"Government Organization","Ohio","1997","GO0001","Total Federal, state, and local government units","State and Local ","3,598"
"Government Organization","Ohio","2002","GO0001","Total Federal, state, and local government units","State and Local ","3,637"
"Government Organization","Ohio","2007","GO0001","Total Federal, state, and local government units","State and Local ","3,703"
"Government Organization","Ohio","2012","GO0001","Total Federal, state, and local government units","State and Local ","3,843"
"Government Organization","Ohio","2017","GO0001","Total Federal, state, and local government units","State and Local ","3,898"
"Government Organization","Oklahoma","1942","GO0001","Total Federal, state, and local government units","State and Local ","5,100"
"Government Organization","Oklahoma","1952","GO0001","Total Federal, state, and local government units","State and Local ","2,771"
"Government Organization","Oklahoma","1957","GO0001","Total Federal, state, and local government units","State and Local ","2,332"
"Government Organization","Oklahoma","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,960"
"Government Organization","Oklahoma","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,774"
"Government Organization","Oklahoma","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,684"
"Government Organization","Oklahoma","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,676"
"Government Organization","Oklahoma","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,703"
"Government Organization","Oklahoma","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,803"
"Government Organization","Oklahoma","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,795"
"Government Organization","Oklahoma","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,800"
"Government Organization","Oklahoma","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,799"
"Government Organization","Oklahoma","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,881"
"Government Organization","Oklahoma","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,853"
"Government Organization","Oklahoma","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,831"
"Government Organization","Oregon","1942","GO0001","Total Federal, state, and local government units","State and Local ","2,332"
"Government Organization","Oregon","1952","GO0001","Total Federal, state, and local government units","State and Local ","1,723"
"Government Organization","Oregon","1957","GO0001","Total Federal, state, and local government units","State and Local ","1,526"
"Government Organization","Oregon","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,470"
"Government Organization","Oregon","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,457"
"Government Organization","Oregon","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,447"
"Government Organization","Oregon","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,448"
"Government Organization","Oregon","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,455"
"Government Organization","Oregon","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,503"
"Government Organization","Oregon","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,451"
"Government Organization","Oregon","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,494"
"Government Organization","Oregon","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,440"
"Government Organization","Oregon","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,547"
"Government Organization","Oregon","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,543"
"Government Organization","Oregon","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,511"
"Government Organization","Pennsylvania","1942","GO0001","Total Federal, state, and local government units","State and Local ","5,263"
"Government Organization","Pennsylvania","1952","GO0001","Total Federal, state, and local government units","State and Local ","5,156"
"Government Organization","Pennsylvania","1957","GO0001","Total Federal, state, and local government units","State and Local ","5,073"
"Government Organization","Pennsylvania","1962","GO0001","Total Federal, state, and local government units","State and Local ","6,202"
"Government Organization","Pennsylvania","1967","GO0001","Total Federal, state, and local government units","State and Local ","4,999"
"Government Organization","Pennsylvania","1972","GO0001","Total Federal, state, and local government units","State and Local ","4,936"
"Government Organization","Pennsylvania","1977","GO0001","Total Federal, state, and local government units","State and Local ","5,247"
"Government Organization","Pennsylvania","1982","GO0001","Total Federal, state, and local government units","State and Local ","5,199"
"Government Organization","Pennsylvania","1987","GO0001","Total Federal, state, and local government units","State and Local ","4,957"
"Government Organization","Pennsylvania","1992","GO0001","Total Federal, state, and local government units","State and Local ","5,159"
"Government Organization","Pennsylvania","1997","GO0001","Total Federal, state, and local government units","State and Local ","5,071"
"Government Organization","Pennsylvania","2002","GO0001","Total Federal, state, and local government units","State and Local ","5,032"
"Government Organization","Pennsylvania","2007","GO0001","Total Federal, state, and local government units","State and Local ","4,872"
"Government Organization","Pennsylvania","2012","GO0001","Total Federal, state, and local government units","State and Local ","4,898"
"Government Organization","Pennsylvania","2017","GO0001","Total Federal, state, and local government units","State and Local ","4,831"
"Government Organization","Rhode Island","1942","GO0001","Total Federal, state, and local government units","State and Local ","54"
"Government Organization","Rhode Island","1952","GO0001","Total Federal, state, and local government units","State and Local ","89"
"Government Organization","Rhode Island","1957","GO0001","Total Federal, state, and local government units","State and Local ","91"
"Government Organization","Rhode Island","1962","GO0001","Total Federal, state, and local government units","State and Local ","98"
"Government Organization","Rhode Island","1967","GO0001","Total Federal, state, and local government units","State and Local ","110"
"Government Organization","Rhode Island","1972","GO0001","Total Federal, state, and local government units","State and Local ","116"
"Government Organization","Rhode Island","1977","GO0001","Total Federal, state, and local government units","State and Local ","121"
"Government Organization","Rhode Island","1982","GO0001","Total Federal, state, and local government units","State and Local ","123"
"Government Organization","Rhode Island","1987","GO0001","Total Federal, state, and local government units","State and Local ","126"
"Government Organization","Rhode Island","1992","GO0001","Total Federal, state, and local government units","State and Local ","126"
"Government Organization","Rhode Island","1997","GO0001","Total Federal, state, and local government units","State and Local ","120"
"Government Organization","Rhode Island","2002","GO0001","Total Federal, state, and local government units","State and Local ","119"
"Government Organization","Rhode Island","2007","GO0001","Total Federal, state, and local government units","State and Local ","135"
"Government Organization","Rhode Island","2012","GO0001","Total Federal, state, and local government units","State and Local ","134"
"Government Organization","Rhode Island","2017","GO0001","Total Federal, state, and local government units","State and Local ","130"
"Government Organization","South Carolina","1942","GO0001","Total Federal, state, and local government units","State and Local ","2,057"
"Government Organization","South Carolina","1952","GO0001","Total Federal, state, and local government units","State and Local ","413"
"Government Organization","South Carolina","1957","GO0001","Total Federal, state, and local government units","State and Local ","503"
"Government Organization","South Carolina","1962","GO0001","Total Federal, state, and local government units","State and Local ","553"
"Government Organization","South Carolina","1967","GO0001","Total Federal, state, and local government units","State and Local ","562"
"Government Organization","South Carolina","1972","GO0001","Total Federal, state, and local government units","State and Local ","584"
"Government Organization","South Carolina","1977","GO0001","Total Federal, state, and local government units","State and Local ","586"
"Government Organization","South Carolina","1982","GO0001","Total Federal, state, and local government units","State and Local ","646"
"Government Organization","South Carolina","1987","GO0001","Total Federal, state, and local government units","State and Local ","708"
"Government Organization","South Carolina","1992","GO0001","Total Federal, state, and local government units","State and Local ","698"
"Government Organization","South Carolina","1997","GO0001","Total Federal, state, and local government units","State and Local ","717"
"Government Organization","South Carolina","2002","GO0001","Total Federal, state, and local government units","State and Local ","702"
"Government Organization","South Carolina","2007","GO0001","Total Federal, state, and local government units","State and Local ","699"
"Government Organization","South Carolina","2012","GO0001","Total Federal, state, and local government units","State and Local ","679"
"Government Organization","South Carolina","2017","GO0001","Total Federal, state, and local government units","State and Local ","672"
"Government Organization","South Dakota","1942","GO0001","Total Federal, state, and local government units","State and Local ","4,919"
"Government Organization","South Dakota","1952","GO0001","Total Federal, state, and local government units","State and Local ","4,917"
"Government Organization","South Dakota","1957","GO0001","Total Federal, state, and local government units","State and Local ","4,808"
"Government Organization","South Dakota","1962","GO0001","Total Federal, state, and local government units","State and Local ","4,464"
"Government Organization","South Dakota","1967","GO0001","Total Federal, state, and local government units","State and Local ","3,511"
"Government Organization","South Dakota","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,771"
